neighborhood,sample_count,avg_list_price,avg_estimator_final,avg_estimator_range,avg_list_minus_estimator
Abbottsfield,5.0,186676.0,29570285.368,14184758.608,-29383609.368
Albany,4.0,345475.0,669125.65,225051.71999999997,-323650.65
Alberta Avenue,11.0,351700.0,349344.20636363636,162259.1109090909,2355.79363636364
Alces,8.0,517350.0,382632.42125,201566.94,134717.57875
Aldergrove,5.0,377080.0,411722.846,149753.84,-34642.846000000005
Allard,12.0,504750.0,593917.9208333333,224426.19000000003,-89167.92083333334
Allendale,13.0,554323.0769230769,560524.5223076923,262764.28923076927,-6201.445384615392
Ambleside,13.0,379546.1538461539,1484021.8246153845,679038.033846154,-1104475.670769231
Anthony Henday South,7.0,489642.85714285716,420105.7442857143,185627.74285714288,69537.11285714289
Anthony Henday South Blackburne,2.0,180950.0,182380.235,67276.78,-1430.2350000000006
Anthony Henday South East,1.0,2800786.0,628991.86,342171.58,2171794.14
Anthony Henday Terwillegar,4.0,273350.0,284330.7525,136478.76,-10980.752499999988
Argyll,4.0,655725.0,489028.9375,186994.06499999997,166696.0625
Aspen Gardens,11.0,679372.7272727273,663626.1281818182,295690.72,15746.599090909089
Aster,5.0,411298.8,45005800.876,24483155.680000007,-44594502.076
Athlone,11.0,339416.36363636365,362615.9954545455,161130.62727272726,-23199.63181818182
Avonmore,6.0,452250.0,539863.7316666667,260517.88333333333,-87613.73166666664
Balwin,4.0,429925.0,281710.175,116217.0,148214.825
Bannerman,8.0,405774.875,260340.98625,100924.02,145433.88875
Baranow,5.0,242613.8,1411935.9880000001,672627.2239999999,-1169322.188
Baturyn,10.0,388449.8,440167.249,183742.388,-51717.44900000001
Beacon Heights,8.0,348400.0,465290.9525,204112.21750000003,-116890.95250000001
Beaumaris,8.0,266200.0,465990.2425,223675.3175,-199790.24250000002
Belgravia,10.0,766098.0,637955.23,294473.904,128142.77000000002
Belle Rive,5.0,395471.0,411991.068,141637.744,-16520.068000000017
Bellevue,3.0,700933.3333333334,243616.15666666665,114562.96,457317.1766666666
Belmead,9.0,246600.0,1502595.111111111,704633.1955555555,-1255995.111111111
Belmont,5.0,278300.0,884894.95,390182.12799999997,-606594.95
Belvedere,10.0,284060.0,255349.796,102742.698,28710.204000000005
Beverly Heights,13.0,433638.46153846156,373086.04615384614,159725.4169230769,60552.41538461538
Bisset,7.0,516257.0,429743.8585714285,168876.50857142854,86513.14142857144
Blackburne,4.0,523600.0,825857.0549999999,361389.90499999997,-302257.055
Blackmud Creek,2.0,742949.5,631695.8200000001,239104.02000000002,111253.68
Blackmud Creek Neighbourhood,13.0,300484.6153846154,308744.6223076923,120501.34461538463,-8260.006923076933
Blatchford,4.0,420324.25,1614641.72,834565.1699999999,-1194317.47
Blue Quill,4.0,318200.0,249284.28499999997,84261.73000000001,68915.71500000003
Blue Quill Estates,1.0,425000.0,434109.33,151932.94,-9109.330000000016
Bonaventure Industrial,2.0,314950.0,83332.83,45333.06,231617.16999999998
Bonnie Doon,11.0,443963.54545454547,658369.8136363636,305829.71272727277,-214406.26818181816
Boyle Street,10.0,372720.0,383521.131,168549.176,-10801.131000000005
Brander Gardens,9.0,505461.55555555556,321140.4911111111,131258.89555555553,184321.06444444443
Breckenridge Greens,4.0,430950.0,348863.9975,131577.675,82086.0025
Brintnell,6.0,476200.0,457378.0366666667,144055.51333333334,18821.96333333332
Britannia Youngstown,13.0,574153.8461538461,1169184.6915384615,557790.2307692309,-595030.8453846154
Brookside,5.0,1680960.0,657326.662,279623.316,1023633.3379999999
Bulyea Heights,8.0,629512.5,736877.735,324820.4375,-107365.23499999999
Caernarvon,20.0,444249.7,336371.84500000003,135483.76400000002,107877.85500000001
Calder,12.0,448216.5,379420.98416666663,176341.03166666665,68795.51583333334
Calgary Trail South,3.0,941300.0,5254230.31,2858301.28,-4312930.31
Callaghan,12.0,492415.75,558503.7333333333,225344.28666666665,-66087.98333333335
Callingwood North,5.0,226919.6,227943.68199999997,74384.70800000001,-1024.0819999999949
Cameron Heights,12.0,1629474.9166666667,1085432.9675,497585.0533333334,544041.9491666666
Canon Ridge,10.0,190680.0,194516.184,77118.862,-3836.1839999999997
Canora,12.0,1014000.0,397355.75333333336,186590.00833333333,616644.2466666667
Canossa,11.0,521162.0909090909,461139.39272727276,183479.52363636362,60022.698181818174
Capilano,14.0,426592.78571428574,512194.76214285713,239200.50714285712,-85601.97642857143
Carlisle,7.0,339217.28571428574,468086.0457142857,200920.58285714287,-128868.76000000001
Carlton,18.0,415433.27777777775,459643.43944444443,151283.1977777778,-44210.16166666665
Carter Crest,5.0,566937.6,554413.8060000001,255247.24400000004,12523.793999999983
Cashman,2.0,294998.0,107709.7,58594.07999999999,187288.3
Casselman,10.0,215640.0,217927.49,78114.03400000001,-2287.489999999998
Cavanagh,12.0,470616.6666666667,541330.1158333333,200954.37000000002,-70713.44916666667
Central McDougall,9.0,248222.33333333334,748956.3366666666,351513.2555555555,-500734.00333333324
Chambery,12.0,738707.9166666666,557866.0291666667,189220.83833333335,180841.88749999998
Chappelle,10.0,572689.5,519149.47599999997,210433.116,53540.024
Chappelle Area,4.0,493850.0,413703.025,141853.24000000002,80146.975
Charlesworth,13.0,413454.0,520030.17,191254.9384615384,-106576.17
Clareview,1.0,345000.0,5222020.16,2506569.68,-4877020.16
Clareview Business Park,7.0,161171.42857142858,113702.63285714285,38552.34857142858,47468.79571428573
Clareview Town Centre,4.0,178950.0,168937.0575,76345.75499999999,10012.942500000005
Cloverdale,11.0,473299.7272727273,280809.8645454545,134788.73636363636,192489.86272727276
Crawford Plains,3.0,611600.0,401607.42,159906.56,209992.58
Crestwood,7.0,1972364.2857142857,1087708.0914285714,522099.8857142857,884656.1942857143
Cromdale,9.0,739466.6666666666,631062.4666666667,295694.2911111111,108404.20000000001
Crystallina Nera East,2.0,84450.0,14633559.35,4853670.919999998,-14549109.35
Crystallina Nera West,3.0,519933.3333333333,11699305.496666664,5594424.84,-11179372.163333332
Cumberland,10.0,385850.0,402615.87200000003,130626.23799999998,-16765.872000000003
Cy Becker,6.0,341148.3333333333,617503.0950000001,296401.48666666663,-276354.7616666667
Daly Grove,6.0,464166.6666666667,439965.8383333333,188112.15000000002,24200.82833333335
Davies Industrial West,2.0,548950.0,1137.4,618.74,547812.6
Dechene,2.0,577000.0,534104.2949999999,185720.99,42895.705000000016
Decoteau,1.0,369000.0,1124436.58,539729.56,-755436.5800000001
Delton,12.0,599141.6666666666,234489.14833333335,108947.07833333332,364652.5183333333
Delwood,13.0,541092.3076923077,394621.07384615386,157316.86615384617,146471.23384615386
Desrochers,6.0,534933.1666666666,375510.055,139571.91333333333,159423.11166666666
Desrochers Area,2.0,471200.0,461152.36,170610.45999999996,10047.639999999985
Dominion Industrial,3.0,1443000.0,1587714.4166666667,863716.6399999998,-144714.41666666674
Donsdale,5.0,1246360.0,1068942.934,486104.24000000005,177417.06600000002
Dovercourt,8.0,876600.0,434896.75875,181240.40000000002,441703.24124999996
Downtown,29.0,345009.5517241379,9516906.681724137,5092922.984827586,-9171897.129999999
Duggan,9.0,451366.55555555556,496887.41444444447,185905.14666666664,-45520.858888888884
Dunluce,15.0,365059.13333333336,344631.142,129594.99200000001,20427.991333333317
Eastgate Business Park,6.0,560600.0,6026139.216666666,3278219.7300000004,-5465539.216666667
Eastwood,18.0,493749.8333333333,420436.2211111111,201809.38444444447,73313.61222222222
Eaux Claires,5.0,218720.0,800034.496,370570.08,-581314.496
Ebbers,10.0,315848.9,2006870.2030000002,921221.788,-1691021.303
Edgemont,7.0,488100.0,401556.4285714286,165428.90571428573,86543.57142857143
Edmonton Energy And Technology Park,12.0,1901194.8333333333,46856.32666666666,22491.039999999997,1854338.5066666668
Edmonton Research and Development Park,2.0,469900.0,5291317.96,2878476.98,-4821417.96
Ekota,5.0,298323.2,362556.82,140449.2,-64233.619999999995
Ellerslie Crossing,12.0,468250.0,744394.4433333334,301355.5183333333,-276144.44333333336
Ellerslie Industrial,1.0,8400000.0,2410056.85,1087533.8800000001,5989943.15
Elmwood,5.0,486540.0,389286.582,162335.92799999999,97253.418
Elmwood Park,3.0,1329866.6666666667,742968.1366666667,346817.38666666666,586898.5299999999
Elsinore,10.0,540310.0,499416.52800000005,189516.314,40893.471999999994
Empire Park,13.0,255715.3076923077,274798.64384615386,125155.77384615384,-19083.336153846154
Ermineskin,9.0,376832.22222222225,989225.2444444443,457944.74,-612393.0222222223
Evansdale,5.0,347981.8,4060300.6240000003,1027139.6759999997,-3712318.824
Evergreen,7.0,113914.28571428571,41020.25142857143,19689.725714285716,72894.03428571428
Forest Heights,19.0,1207852.5789473683,1115708.5647368422,521252.6684210527,92144.01421052634
Fraser,3.0,532266.6666666666,487335.12000000005,204736.34666666665,44931.546666666654
Fulton Place,12.0,446607.4166666667,367922.2241666667,156045.50666666662,78685.19249999999
Gagnon Estate Industrial,1.0,599000.0,3445463.45,1874332.1199999996,-2846463.45
Gariepy,4.0,876000.0,643768.2150000001,256968.04499999998,232231.78499999997
Garneau,21.0,477166.09523809527,1802914.8552380954,849196.2971428571,-1325748.76
Garside Industrial,2.0,497450.0,571138.78,261850.87999999995,-73688.78000000003
Glastonbury,9.0,391366.8888888889,496380.5433333333,182463.5,-105013.65444444446
Glengarry,7.0,455042.85714285716,407296.35714285716,177003.27428571432,47746.50000000001
Glenora,12.0,1914716.5833333333,1389728.9825,667069.91,524987.6008333333
Glenridding Heights,13.0,472336.92307692306,301685.0838461538,119055.51384615384,170651.8392307692
Glenridding Ravine,6.0,616216.6666666666,604812.2133333333,209597.69666666666,11404.453333333347
Glenwood,10.0,493109.9,399924.324,173680.874,93185.576
Gold Bar,2.0,467700.0,489714.13,187448.13999999996,-22014.129999999976
Goodridge Corners,6.0,626983.3333333334,161371.94166666665,52582.84333333333,465611.39166666666
Gorman,3.0,514933.3333333333,553549.8466666667,255934.36666666667,-38616.51333333334
Government Centre,6.0,310150.0,394837.97666666674,200751.1433333333,-84687.97666666668
Grandview Heights,5.0,671860.0,927079.7720000001,405093.77599999995,-255219.77200000003
Granville,12.0,720900.0833333334,519244.2941666667,212156.18999999997,201655.78916666668
Graydon Hill,12.0,484683.1666666667,430073.3416666666,160556.32666666666,54609.825000000004
Greenfield,5.0,524340.0,498614.70199999993,226864.696,25725.29800000001
Griesbach,12.0,604982.5,576551.8825,248837.31333333335,28430.617500000004
Grovenor,9.0,767977.7777777778,535019.9755555555,228737.02666666667,232957.8022222222
Haddow,13.0,468661.46153846156,603816.3730769231,240280.8046153846,-135154.9115384615
Hairsine,10.0,373881.0,349255.531,118745.91399999999,24625.46900000001
Hawks Ridge,11.0,667099.4545454546,463417.46181818185,182783.29090909092,203681.99272727277
