neighbourhood_number,neighbourhood,ward,population_2021,households_2021,area_sq_km,population_characteristic,households_characteristic,source_area_id,geography_level
1010,ALBERTA AVENUE,Métis,6565.0,2895.0,1.666235402226448,total_population,sum_household_size_distribution,N1010,neighbourhood
1020,BOYLE STREET,O-day'min,6460.0,3545.0,0.8738439418375492,total_population,sum_household_size_distribution,N1020,neighbourhood
1030,CENTRAL MCDOUGALL,O-day'min,4490.0,2560.0,1.1910446919500828,total_population,sum_household_size_distribution,N1030,neighbourhood
1070,CROMDALE,Métis,1795.0,1050.0,0.35583680495619774,total_population,sum_household_size_distribution,N1070,neighbourhood
1080,DELTON,Métis,1985.0,840.0,0.6740451604127884,total_population,sum_household_size_distribution,N1080,neighbourhood
1090,DOWNTOWN,O-day'min,12000.0,7870.0,2.290687959641218,total_population,sum_household_size_distribution,N1090,neighbourhood
1100,EASTWOOD,Métis,4100.0,1850.0,1.122294470667839,total_population,sum_household_size_distribution,N1100,neighbourhood
1111,BLATCHFORD AREA,O-day'min,,,3.0293513908982277,,,N1111,neighbourhood
1120,EDMONTON NORTHLANDS,Métis,,,0.7465208135545254,,,N1120,neighbourhood
1130,ELMWOOD PARK,Métis,1225.0,550.0,0.4755064360797405,total_population,sum_household_size_distribution,N1130,neighbourhood
1140,MCCAULEY,O-day'min,3660.0,1750.0,1.4855142012238503,total_population,sum_household_size_distribution,N1140,neighbourhood
1151,WÎHKWÊNTÔWIN,O-day'min,,,,,,N1151,neighbourhood
1160,PARKDALE,Métis,3580.0,1705.0,0.9436101615428925,total_population,sum_household_size_distribution,N1160,neighbourhood
1170,PRINCE RUPERT,O-day'min,1305.0,625.0,1.1352296583354473,total_population,sum_household_size_distribution,N1170,neighbourhood
1180,QUEEN MARY PARK,O-day'min,7585.0,4270.0,1.7886812798678875,total_population,sum_household_size_distribution,N1180,neighbourhood
1190,RIVER VALLEY KINNAIRD,Métis,,,0.8485294878482819,,,N1190,neighbourhood
1200,RIVER VALLEY VICTORIA,O-day'min,,,1.2880613766610622,,,N1200,neighbourhood
1210,RIVERDALE,O-day'min,1960.0,955.0,1.059466514736414,total_population,sum_household_size_distribution,N1210,neighbourhood
1220,ROSSDALE,O-day'min,805.0,440.0,0.895489439368248,total_population,sum_household_size_distribution,N1220,neighbourhood
1230,SPRUCE AVENUE,O-day'min,1830.0,690.0,1.2043954655528069,total_population,sum_household_size_distribution,N1230,neighbourhood
1240,VIRGINIA PARK,Métis,635.0,330.0,0.5032849833369255,total_population,sum_household_size_distribution,N1240,neighbourhood
1250,WESTWOOD,O-day'min,3280.0,1725.0,0.9747053310275078,total_population,sum_household_size_distribution,N1250,neighbourhood
1270,YELLOWHEAD CORRIDOR EAST,Métis,,,1.4183985441923141,,,N1270,neighbourhood
1280,YELLOWHEAD CORRIDOR WEST,Anirniq,,,1.1550051532685757,,,N1280,neighbourhood
2010,ABBOTTSFIELD,Métis,1735.0,650.0,0.40614691004157066,total_population,sum_household_size_distribution,N2010,neighbourhood
2020,BALWIN,tastawiyiniwak,4095.0,1565.0,1.3908195346593857,total_population,sum_household_size_distribution,N2020,neighbourhood
2030,BANNERMAN,Dene,2770.0,1110.0,0.7268657758831978,total_population,sum_household_size_distribution,N2030,neighbourhood
2040,BEACON HEIGHTS,Métis,2935.0,1245.0,1.1404378041625023,total_population,sum_household_size_distribution,N2040,neighbourhood
2050,BELLE RIVE,tastawiyiniwak,3760.0,1240.0,1.1634725853800774,total_population,sum_household_size_distribution,N2050,neighbourhood
2060,BELLEVUE,Métis,1010.0,490.0,0.5094039514660835,total_population,sum_household_size_distribution,N2060,neighbourhood
2070,BELMONT,Dene,5300.0,1985.0,1.2526491954922676,total_population,sum_household_size_distribution,N2070,neighbourhood
2080,BELVEDERE,Dene,5340.0,2305.0,1.65945553034544,total_population,sum_household_size_distribution,N2080,neighbourhood
2090,BERGMAN,Métis,1455.0,560.0,0.7023261711001396,total_population,sum_household_size_distribution,N2090,neighbourhood
2100,BEVERLY HEIGHTS,Métis,3250.0,1505.0,1.3724523521959782,total_population,sum_household_size_distribution,N2100,neighbourhood
2110,BRINTNELL,Dene,6660.0,2050.0,1.3975855521857738,total_population,sum_household_size_distribution,N2110,neighbourhood
2120,CANON RIDGE,Dene,2245.0,1030.0,0.6471917852759361,total_population,sum_household_size_distribution,N2120,neighbourhood
2130,CASSELMAN,Dene,3535.0,1375.0,0.8332292623817921,total_population,sum_household_size_distribution,N2130,neighbourhood
2145,CLAREVIEW TOWN CENTRE,Dene,3800.0,1605.0,1.35202032700181,total_population,sum_household_size_distribution,N2145,neighbourhood
2160,CLOVER BAR AREA,Dene,,,19.139724604785442,,,N2160,neighbourhood
