canonical_location_id,source_record_id,source_type,source_name,match_method,reason_code,confidence,normalized_address,raw_source_address,suite,house_number,street_name,legal_description,lat,lon
loc-0361,listing-fuzzy-361,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2000 ELM ST NW,2000 ELM STRET NW,,2000,ELM STRET NW,PLAN 1 BLK 1 LOT 361,53.5361,-113.5361
loc-0362,listing-fuzzy-362,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2001 ELM ST NW,2001 ELM STRET NW,,2001,ELM STRET NW,PLAN 1 BLK 1 LOT 362,53.5362,-113.5362
loc-0363,listing-fuzzy-363,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2002 ELM ST NW,2002 ELM STRET NW,,2002,ELM STRET NW,PLAN 1 BLK 1 LOT 363,53.5363,-113.5363
loc-0364,listing-fuzzy-364,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2003 ELM ST NW,2003 ELM STRET NW,,2003,ELM STRET NW,PLAN 1 BLK 1 LOT 364,53.5364,-113.5364
loc-0365,listing-fuzzy-365,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2004 ELM ST NW,2004 ELM STRET NW,,2004,ELM STRET NW,PLAN 1 BLK 1 LOT 365,53.5365,-113.5365
loc-0366,listing-fuzzy-366,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2005 ELM ST NW,2005 ELM STRET NW,,2005,ELM STRET NW,PLAN 1 BLK 1 LOT 366,53.5366,-113.5366
loc-0367,listing-fuzzy-367,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2006 ELM ST NW,2006 ELM STRET NW,,2006,ELM STRET NW,PLAN 1 BLK 1 LOT 367,53.5367,-113.5367
loc-0368,listing-fuzzy-368,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2007 ELM ST NW,2007 ELM STRET NW,,2007,ELM STRET NW,PLAN 1 BLK 1 LOT 368,53.5368,-113.5368
loc-0369,listing-fuzzy-369,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2008 ELM ST NW,2008 ELM STRET NW,,2008,ELM STRET NW,PLAN 1 BLK 1 LOT 369,53.5369,-113.5369
loc-0370,listing-fuzzy-370,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2009 ELM ST NW,2009 ELM STRET NW,,2009,ELM STRET NW,PLAN 1 BLK 1 LOT 370,53.537,-113.537
loc-0371,listing-fuzzy-371,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2010 ELM ST NW,2010 ELM STRET NW,,2010,ELM STRET NW,PLAN 1 BLK 1 LOT 371,53.5371,-113.5371
loc-0372,listing-fuzzy-372,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2011 ELM ST NW,2011 ELM STRET NW,,2011,ELM STRET NW,PLAN 1 BLK 1 LOT 372,53.5372,-113.5372
loc-0373,listing-fuzzy-373,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2012 ELM ST NW,2012 ELM STRET NW,,2012,ELM STRET NW,PLAN 1 BLK 1 LOT 373,53.5373,-113.5373
loc-0374,listing-fuzzy-374,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2013 ELM ST NW,2013 ELM STRET NW,,2013,ELM STRET NW,PLAN 1 BLK 1 LOT 374,53.5374,-113.5374
loc-0375,listing-fuzzy-375,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2014 ELM ST NW,2014 ELM STRET NW,,2014,ELM STRET NW,PLAN 1 BLK 1 LOT 375,53.5375,-113.5375
loc-0376,listing-fuzzy-376,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2015 ELM ST NW,2015 ELM STRET NW,,2015,ELM STRET NW,PLAN 1 BLK 1 LOT 376,53.5376,-113.5376
loc-0377,listing-fuzzy-377,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2016 ELM ST NW,2016 ELM STRET NW,,2016,ELM STRET NW,PLAN 1 BLK 1 LOT 377,53.5377,-113.5377
loc-0378,listing-fuzzy-378,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2017 ELM ST NW,2017 ELM STRET NW,,2017,ELM STRET NW,PLAN 1 BLK 1 LOT 378,53.5378,-113.5378
loc-0379,listing-fuzzy-379,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2018 ELM ST NW,2018 ELM STRET NW,,2018,ELM STRET NW,PLAN 1 BLK 1 LOT 379,53.5379,-113.5379
loc-0380,listing-fuzzy-380,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2019 ELM ST NW,2019 ELM STRET NW,,2019,ELM STRET NW,PLAN 1 BLK 1 LOT 380,53.538,-113.538
loc-0381,listing-fuzzy-381,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2020 ELM ST NW,2020 ELM STRET NW,,2020,ELM STRET NW,PLAN 1 BLK 1 LOT 381,53.5381,-113.5381
loc-0382,listing-fuzzy-382,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2021 ELM ST NW,2021 ELM STRET NW,,2021,ELM STRET NW,PLAN 1 BLK 1 LOT 382,53.5382,-113.5382
loc-0383,listing-fuzzy-383,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2022 ELM ST NW,2022 ELM STRET NW,,2022,ELM STRET NW,PLAN 1 BLK 1 LOT 383,53.5383,-113.5383
loc-0384,listing-fuzzy-384,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2023 ELM ST NW,2023 ELM STRET NW,,2023,ELM STRET NW,PLAN 1 BLK 1 LOT 384,53.5384,-113.5384
loc-0385,listing-fuzzy-385,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2024 ELM ST NW,2024 ELM STRET NW,,2024,ELM STRET NW,PLAN 1 BLK 1 LOT 385,53.5385,-113.5385
loc-0386,listing-fuzzy-386,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2025 ELM ST NW,2025 ELM STRET NW,,2025,ELM STRET NW,PLAN 1 BLK 1 LOT 386,53.5386,-113.5386
loc-0387,listing-fuzzy-387,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2026 ELM ST NW,2026 ELM STRET NW,,2026,ELM STRET NW,PLAN 1 BLK 1 LOT 387,53.5387,-113.5387
loc-0388,listing-fuzzy-388,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2027 ELM ST NW,2027 ELM STRET NW,,2027,ELM STRET NW,PLAN 1 BLK 1 LOT 388,53.5388,-113.5388
loc-0389,listing-fuzzy-389,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2028 ELM ST NW,2028 ELM STRET NW,,2028,ELM STRET NW,PLAN 1 BLK 1 LOT 389,53.5389,-113.5389
loc-0390,listing-fuzzy-390,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2029 ELM ST NW,2029 ELM STRET NW,,2029,ELM STRET NW,PLAN 1 BLK 1 LOT 390,53.539,-113.539
loc-0391,listing-fuzzy-391,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2030 ELM ST NW,2030 ELM STRET NW,,2030,ELM STRET NW,PLAN 1 BLK 1 LOT 391,53.5391,-113.5391
loc-0392,listing-fuzzy-392,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2031 ELM ST NW,2031 ELM STRET NW,,2031,ELM STRET NW,PLAN 1 BLK 1 LOT 392,53.5392,-113.5392
loc-0393,listing-fuzzy-393,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2032 ELM ST NW,2032 ELM STRET NW,,2032,ELM STRET NW,PLAN 1 BLK 1 LOT 393,53.5393,-113.5393
loc-0394,listing-fuzzy-394,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2033 ELM ST NW,2033 ELM STRET NW,,2033,ELM STRET NW,PLAN 1 BLK 1 LOT 394,53.5394,-113.5394
loc-0395,listing-fuzzy-395,observed,listing_file,fuzzy_address_geo,typo_normalized_match,0.965,2034 ELM ST NW,2034 ELM STRET NW,,2034,ELM STRET NW,PLAN 1 BLK 1 LOT 395,53.5395,-113.5395
