canonical_location_id,source_record_id,source_type,source_name,match_method,reason_code,confidence,normalized_address,raw_source_address,suite,house_number,street_name,legal_description,lat,lon
loc-0482,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,102,3000,MAYNARD WAY NW,PLAN 1 BLK 1 LOT 482,53.5482,-113.5482
loc-0484,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,102,3001,MAYNARD WAY NW,PLAN 1 BLK 1 LOT 484,53.5484,-113.5484
loc-0486,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,102,3002,MAYNARD WAY NW,PLAN 1 BLK 1 LOT 486,53.5486,-113.5486
loc-0488,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,102,3003,MAYNARD WAY NW,PLAN 1 BLK 1 LOT 488,53.5488,-113.5488
loc-0490,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,102,3004,MAYNARD WAY NW,PLAN 1 BLK 1 LOT 490,53.549,-113.549
loc-0492,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,102,3005,MAYNARD WAY NW,PLAN 1 BLK 1 LOT 492,53.5492,-113.5492
loc-0494,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,102,3006,MAYNARD WAY NW,PLAN 1 BLK 1 LOT 494,53.5494,-113.5494
loc-0496,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,102,3007,MAYNARD WAY NW,PLAN 1 BLK 1 LOT 496,53.5496,-113.5496
loc-0498,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,102,3008,MAYNARD WAY NW,PLAN 1 BLK 1 LOT 498,53.5498,-113.5498
loc-0500,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,102,3009,MAYNARD WAY NW,PLAN 1 BLK 1 LOT 500,53.55,-113.55
loc-0521,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,,5521,CEDAR RD NW,PLAN 1 BLK 1 LOT 521,53.5521,-113.5521
loc-0522,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,,5522,CEDAR RD NW,PLAN 1 BLK 1 LOT 522,53.5522,-113.5522
loc-0523,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,,5523,CEDAR RD NW,PLAN 1 BLK 1 LOT 523,53.5523,-113.5523
loc-0524,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,,5524,CEDAR RD NW,PLAN 1 BLK 1 LOT 524,53.5524,-113.5524
loc-0525,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,,5525,CEDAR RD NW,PLAN 1 BLK 1 LOT 525,53.5525,-113.5525
loc-0526,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,,5526,CEDAR RD NW,PLAN 1 BLK 1 LOT 526,53.5526,-113.5526
loc-0527,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,,5527,CEDAR RD NW,PLAN 1 BLK 1 LOT 527,53.5527,-113.5527
loc-0528,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,,5528,CEDAR RD NW,PLAN 1 BLK 1 LOT 528,53.5528,-113.5528
loc-0529,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,,5529,CEDAR RD NW,PLAN 1 BLK 1 LOT 529,53.5529,-113.5529
loc-0530,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,,5530,CEDAR RD NW,PLAN 1 BLK 1 LOT 530,53.553,-113.553
loc-0531,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,,5531,CEDAR RD NW,PLAN 1 BLK 1 LOT 531,53.5531,-113.5531
loc-0532,,imputed,bedbath-grouped-v1,model_imputation,,0.78,,,,5532,CEDAR RD NW,PLAN 1 BLK 1 LOT 532,53.5532,-113.5532
