canonical_location_id,source_record_id,source_type,source_name,match_method,reason_code,confidence,normalized_address,raw_source_address,suite,house_number,street_name,legal_description,lat,lon
loc-0481,listing-suite-0,observed,listing_file,suite_missing_multi_unit,suite_missing_multi_unit,0.96,3000 MAYNARD WAY NW,3000 MAYNARD WAY NW,101,3000,MAYNARD WAY NW,PLAN 1 BLK 1 LOT 481,53.5481,-113.5481
loc-0483,listing-suite-1,observed,listing_file,suite_missing_multi_unit,suite_missing_multi_unit,0.96,3001 MAYNARD WAY NW,3001 MAYNARD WAY NW,101,3001,MAYNARD WAY NW,PLAN 1 BLK 1 LOT 483,53.5483,-113.5483
loc-0485,listing-suite-2,observed,listing_file,suite_missing_multi_unit,suite_missing_multi_unit,0.96,3002 MAYNARD WAY NW,3002 MAYNARD WAY NW,101,3002,MAYNARD WAY NW,PLAN 1 BLK 1 LOT 485,53.5485,-113.5485
loc-0487,listing-suite-3,observed,listing_file,suite_missing_multi_unit,suite_missing_multi_unit,0.96,3003 MAYNARD WAY NW,3003 MAYNARD WAY NW,101,3003,MAYNARD WAY NW,PLAN 1 BLK 1 LOT 487,53.5487,-113.5487
loc-0489,listing-suite-4,observed,listing_file,suite_missing_multi_unit,suite_missing_multi_unit,0.96,3004 MAYNARD WAY NW,3004 MAYNARD WAY NW,101,3004,MAYNARD WAY NW,PLAN 1 BLK 1 LOT 489,53.5489,-113.5489
loc-0491,listing-suite-5,observed,listing_file,suite_missing_multi_unit,suite_missing_multi_unit,0.96,3005 MAYNARD WAY NW,3005 MAYNARD WAY NW,101,3005,MAYNARD WAY NW,PLAN 1 BLK 1 LOT 491,53.5491,-113.5491
loc-0493,listing-suite-6,observed,listing_file,suite_missing_multi_unit,suite_missing_multi_unit,0.96,3006 MAYNARD WAY NW,3006 MAYNARD WAY NW,101,3006,MAYNARD WAY NW,PLAN 1 BLK 1 LOT 493,53.5493,-113.5493
loc-0495,listing-suite-7,observed,listing_file,suite_missing_multi_unit,suite_missing_multi_unit,0.96,3007 MAYNARD WAY NW,3007 MAYNARD WAY NW,101,3007,MAYNARD WAY NW,PLAN 1 BLK 1 LOT 495,53.5495,-113.5495
loc-0497,listing-suite-8,observed,listing_file,suite_missing_multi_unit,suite_missing_multi_unit,0.96,3008 MAYNARD WAY NW,3008 MAYNARD WAY NW,101,3008,MAYNARD WAY NW,PLAN 1 BLK 1 LOT 497,53.5497,-113.5497
loc-0499,listing-suite-9,observed,listing_file,suite_missing_multi_unit,suite_missing_multi_unit,0.96,3009 MAYNARD WAY NW,3009 MAYNARD WAY NW,101,3009,MAYNARD WAY NW,PLAN 1 BLK 1 LOT 499,53.5499,-113.5499
