address,beds,baths,square_footage,price,link,neighborhood,lat,long
#251 6079 MAYNARD WY NW,2,2,1136,"$349,900",https://www.realtor.ca/real-estate/29552551/251-6079-maynard-wy-nw-edmonton-mactaggart,Mactaggart,53.4417395,-113.5610437
4016 MACTAGGART DR NW,7,5,3254,"$1,249,200",https://www.realtor.ca/real-estate/29522883/4016-mactaggart-dr-nw-edmonton-mactaggart,Mactaggart,53.4384844,-113.5628317
#317 6083 MAYNARD WY NW,2,1,800,"$284,900",https://www.realtor.ca/real-estate/29515781/317-6083-maynard-wy-nw-edmonton-mactaggart,Mactaggart,53.4418261,-113.5623479
#206 6083 MAYNARD WY NW,2,1,940,"$285,000",https://www.realtor.ca/real-estate/29507884/206-6083-maynard-wy-nw-edmonton-mactaggart,Mactaggart,53.4418261,-113.5623479
#116 5810 MULLEN PL NW,2,2,693,"$215,000",https://www.realtor.ca/real-estate/29506157/116-5810-mullen-pl-nw-edmonton-mactaggart,Mactaggart,53.4324815,-113.5730413
#3 5134 MULLEN RD NW,3,3,1299,"$359,900",https://www.realtor.ca/real-estate/29500472/3-5134-mullen-rd-nw-edmonton-mactaggart,Mactaggart,53.4351500,-113.5678758
#422 5816 MULLEN PL NW,3,2,839,"$249,999",https://www.realtor.ca/real-estate/29441398/422-5816-mullen-pl-nw-edmonton-mactaggart,Mactaggart,53.4325318,-113.5716111
104 5804 PL NW NW,2,1,667,"$195,999",https://www.realtor.ca/real-estate/29384507/104-5804-pl-nw-nw-edmonton-mactaggart,Sunwapta Industrial,53.5416660,-113.6419750
3612 MCLAY COURT NW,4,3,2827,"$925,000",https://www.realtor.ca/real-estate/29353734/3612-mclay-court-nw-edmonton-mactaggart,Mactaggart,53.4441639,-113.5633156
#208 5810 MULLEN PL NW,2,1,565,"$179,800",https://www.realtor.ca/real-estate/29336302/208-5810-mullen-pl-nw-edmonton-mactaggart,Mactaggart,53.4324815,-113.5730413
#217 6083 MAYNARD WY NW,1,1,678,"$249,900",https://www.realtor.ca/real-estate/29335851/217-6083-maynard-wy-nw-edmonton-mactaggart,Mactaggart,53.4418261,-113.5623479
#319 6083 MAYNARD WY NW,1,1,872,"$290,000",https://www.realtor.ca/real-estate/29310029/319-6083-maynard-wy-nw-edmonton-mactaggart,Mactaggart,53.4418261,-113.5623479
#402 7459 May Common NW,2,2,1094,"$489,900",https://www.realtor.ca/real-estate/29553163/402-7459-may-common-nw-edmonton-magrath-heights,Magrath Heights,53.4434916,-113.5521654
#301 7459 May CM NW,2,2,1035,"$469,000",https://www.realtor.ca/real-estate/29537564/301-7459-may-cm-nw-edmonton-magrath-heights,Magrath Heights,53.4434916,-113.5521654
#322 7459 MAY COMMON NW NW,2,2,975,"$409,900",https://www.realtor.ca/real-estate/29507508/322-7459-may-common-nw-nw-edmonton-magrath-heights,Magrath Heights,53.4434916,-113.5521654
#25 7121 MAY CR NW,3,4,2576,"$850,000",https://www.realtor.ca/real-estate/29471783/25-7121-may-cr-nw-edmonton-magrath-heights,Magrath Heights,53.4418848,-113.5507412
4005 MACNEIL PL NW NW,6,4,3116,"$1,249,000",https://www.realtor.ca/real-estate/29467766/4005-macneil-pl-nw-nw-edmonton-magrath-heights,Magrath Heights,53.4458541,-113.5570142
1660 MALONE WY NW,1,3,2262,"$725,000",https://www.realtor.ca/real-estate/29458267/1660-malone-wy-nw-edmonton-magrath-heights,Magrath Heights,53.4470984,-113.5628364
#302 160 MAGRATH RD NW,2,2,1188,"$355,000",https://www.realtor.ca/real-estate/29442019/302-160-magrath-rd-nw-edmonton-magrath-heights,Magrath Heights,53.4529701,-113.5595016
7549 MAY CM NW,4,4,3509,"$1,760,000",https://www.realtor.ca/real-estate/29438148/7549-may-cm-nw-edmonton-magrath-heights,Magrath Heights,53.4438658,-113.5519492
#117 160 MAGRATH RD NW,1,1,825,"$214,900",https://www.realtor.ca/real-estate/29408769/117-160-magrath-rd-nw-edmonton-magrath-heights,Magrath Heights,53.4529701,-113.5595016
1239 MCKINNEY CT NW,3,3,1940,"$585,000",https://www.realtor.ca/real-estate/29401038/1239-mckinney-ct-nw-edmonton-magrath-heights,Magrath Heights,53.4497671,-113.5647848
#105 160 Magrath RD NW,2,2,1262,"$349,888",https://www.realtor.ca/real-estate/29390699/105-160-magrath-rd-nw-edmonton-magrath-heights,Magrath Heights,53.4529701,-113.5595016
2426 MARTELL CR NW,4,5,3402,"$1,398,800",https://www.realtor.ca/real-estate/29358937/2426-martell-cr-nw-edmonton-magrath-heights,Magrath Heights,53.4500291,-113.5580586
11712 48 AV NW,4,3,1326,"$669,000",https://www.realtor.ca/real-estate/29529886/11712-48-av-nw-edmonton-malmo-plains,Malmo Plains,53.4857935,-113.5347529
11459 51 AV NW,3,3,1226,"$499,900",https://www.realtor.ca/real-estate/29492804/11459-51-av-nw-edmonton-malmo-plains,Malmo Plains,53.4881161,-113.5283056
#415 12111 51 AV NW,1,1,695,"$189,900",https://www.realtor.ca/real-estate/29396011/415-12111-51-av-nw-edmonton-malmo-plains,Malmo Plains,53.4879047,-113.5400434
11607 46 AV NW,,,,"$449,900",https://www.realtor.ca/real-estate/28699085/11607-46-av-nw-edmonton-malmo-plains,Malmo Plains,53.4836714,-113.5327123
4126 6A ST NW,3,3,1409,"$449,900",https://www.realtor.ca/real-estate/29557936/4126-6a-st-nw-edmonton-maple-crest,Maple,53.4788024,-113.3532947
2652 MAPLE WY NW,3,4,1539,"$529,900",https://www.realtor.ca/real-estate/29541065/2652-maple-wy-nw-edmonton-maple-crest,Maple,53.4806242,-113.3499959
304 33 AV NW,8,7,3641,"$1,350,000",https://www.realtor.ca/real-estate/29539047/304-33-av-nw-edmonton-maple-crest,Silver Berry,53.4631659,-113.3832527
4158 6A ST NW,4,4,1604,"$549,000",https://www.realtor.ca/real-estate/29538881/4158-6a-st-nw-edmonton-maple-crest,Maple,53.4794686,-113.3532817
724 40 AV NW,6,4,2354,"$649,000",https://www.realtor.ca/real-estate/29532246/724-40-av-nw-edmonton-maple-crest,Maple,53.4772559,-113.3557640
839 37 Avenue,1,3,1617,"$499,900",https://www.realtor.ca/real-estate/29521831/839-37-avenue-edmonton-maple,Edmonton Energy And Technology Park,53.7158378,-113.3331875
2093 MAPLE RD NW,3,3,1411,"$474,900",https://www.realtor.ca/real-estate/29521078/2093-maple-rd-nw-edmonton-maple-crest,Tamarack,53.4766226,-113.3640378
729 37A AV NW,6,4,2450,"$650,000",https://www.realtor.ca/real-estate/29519436/729-37a-av-nw-edmonton-maple-crest,Maple,53.4741043,-113.3553264
4112 8 ST NW,6,6,3720,"$1,249,000",https://www.realtor.ca/real-estate/29512266/4112-8-st-nw-edmonton-maple-crest,Maple,53.4788522,-113.3560116
3003 4 ST NW,6,5,2291,"$759,000",https://www.realtor.ca/real-estate/29497222/3003-4-st-nw-edmonton-maple-crest,Maple,53.4735130,-113.3469862
728 43 AV NW,3,3,2430,"$619,800",https://www.realtor.ca/real-estate/29487267/728-43-av-nw-edmonton-maple-crest,Maple,53.4806933,-113.3556976
4452 6 ST NW,5,4,2606,"$609,000",https://www.realtor.ca/real-estate/29485782/4452-6-st-nw-edmonton-maple-crest,Maple,53.4773759,-113.3522620
514 Maple Wood CR NW,3,2,1198,"$185,000",https://www.realtor.ca/real-estate/29559267/514-maple-wood-cr-nw-edmonton-maple-ridge-edmonton,South Industrial District,53.5044968,-113.3617383
1634 66 Ave - Maple Ridge MH PA NW,2,2,1496,"$169,000",https://www.realtor.ca/real-estate/29550428/1634-66-ave-maple-ridge-mh-pa-nw-edmonton-maple-ridge-edmonton,Maple Ridge,53.5043109,-113.3647435
1622 66 AV S NW,3,2,1407,"$154,900",https://www.realtor.ca/real-estate/29549710/1622-66-av-s-nw-edmonton-maple-ridge-edmonton,Maple Ridge,53.5043109,-113.3647435
